Starting training for 1000 steps...
Step 0092 | Loss: 0.131121 | Recall@32: 1.000 | Sparsity: 0.834 | StepTime: 51.256s
Step 0093 | Loss: 0.134965 | Recall@32: 1.000 | Sparsity: 0.764 | StepTime: 66.578s
Step 0094 | Loss: 0.132843 | Recall@32: 1.000 | Sparsity: 0.804 | StepTime: 69.735s
Step 0095 | Loss: 0.131425 | Recall@32: 1.000 | Sparsity: 0.824 | StepTime: 63.825s
Step 0096 | Loss: 0.131645 | Recall@32: 1.000 | Sparsity: 0.823 | StepTime: 76.348s
Step 0097 | Loss: 0.131745 | Recall@32: 1.000 | Sparsity: 0.820 | StepTime: 80.284s
Step 0098 | Loss: 0.133088 | Recall@32: 1.000 | Sparsity: 0.795 | StepTime: 66.462s
Step 0099 | Loss: 0.131489 | Recall@32: 1.000 | Sparsity: 0.824 | StepTime: 66.869s
Step 0100 | Loss: 0.135371 | Recall@32: 1.000 | Sparsity: 0.757 | StepTime: 86.894s
Saved checkpoint: checkpoints/c2fab_weights_step_100.pt
Step 0101 | Loss: 0.132330 | Recall@32: 1.000 | Sparsity: 0.806 | StepTime: 80.610s
Step 0102 | Loss: 0.135311 | Recall@32: 1.000 | Sparsity: 0.753 | StepTime: 58.284s
Step 0103 | Loss: 0.133063 | Recall@32: 1.000 | Sparsity: 0.796 | StepTime: 53.901s
Step 0104 | Loss: 0.129655 | Recall@32: 1.000 | Sparsity: 0.857 | StepTime: 64.991s
Step 0105 | Loss: 0.135273 | Recall@32: 1.000 | Sparsity: 0.750 | StepTime: 60.925s
Step 0106 | Loss: 0.131160 | Recall@32: 1.000 | Sparsity: 0.831 | StepTime: 68.858s
Step 0107 | Loss: 0.130241 | Recall@32: 1.000 | Sparsity: 0.844 | StepTime: 73.414s
Step 0108 | Loss: 0.128997 | Recall@32: 1.000 | Sparsity: 0.869 | StepTime: 76.864s
Step 0109 | Loss: 0.132977 | Recall@32: 1.000 | Sparsity: 0.802 | StepTime: 63.643s
Step 0110 | Loss: 0.133447 | Recall@32: 1.000 | Sparsity: 0.795 | StepTime: 78.391s
Step 0111 | Loss: 0.128704 | Recall@32: 1.000 | Sparsity: 0.867 | StepTime: 57.482s
Step 0112 | Loss: 0.129146 | Recall@32: 1.000 | Sparsity: 0.864 | StepTime: 57.524s
Step 0113 | Loss: 0.133573 | Recall@32: 1.000 | Sparsity: 0.786 | StepTime: 53.105s
Step 0114 | Loss: 0.132713 | Recall@32: 1.000 | Sparsity: 0.805 | StepTime: 39.347s
Step 0115 | Loss: 0.134123 | Recall@32: 1.000 | Sparsity: 0.777 | StepTime: 44.683s
Step 0116 | Loss: 0.129445 | Recall@32: 1.000 | Sparsity: 0.856 | StepTime: 54.497s
Step 0117 | Loss: 0.128689 | Recall@32: 1.000 | Sparsity: 0.873 | StepTime: 44.486s
Step 0118 | Loss: 0.130325 | Recall@32: 1.000 | Sparsity: 0.842 | StepTime: 46.796s
Step 0119 | Loss: 0.130947 | Recall@32: 1.000 | Sparsity: 0.831 | StepTime: 38.600s
Step 0120 | Loss: 0.128660 | Recall@32: 1.000 | Sparsity: 0.867 | StepTime: 66.694s
Saved checkpoint: checkpoints/c2fab_weights_step_120.pt
Step 0121 | Loss: 0.131559 | Recall@32: 1.000 | Sparsity: 0.822 | StepTime: 62.583s
Step 0122 | Loss: 0.132818 | Recall@32: 1.000 | Sparsity: 0.795 | StepTime: 50.569s
Step 0123 | Loss: 0.132614 | Recall@32: 1.000 | Sparsity: 0.801 | StepTime: 68.929s
Step 0124 | Loss: 0.133830 | Recall@32: 1.000 | Sparsity: 0.784 | StepTime: 52.027s
Step 0125 | Loss: 0.128803 | Recall@32: 1.000 | Sparsity: 0.868 | StepTime: 78.497s
Step 0126 | Loss: 0.134402 | Recall@32: 1.000 | Sparsity: 0.770 | StepTime: 73.842s
